Activity ID;Activity Date;Activity Name;Activity Type;Elapsed Time;Distance;Max Heart Rate;Relative Effort;Commute;Activity Private Note;Activity Gear;Moving Time;Distance;Elevation Gain;Max Heart Rate;Average Heart Rate;Calories;Apparent Temperature;UV Index;Carbon Saved
14197237213;Apr 16, 2025, 3:34:21 PM;Afternoon Ride;Ride;770,00;3.37;141.0;2;true;;GRVL120;681.0;3369.89990234375;15.0;141.0;113.36041259765625;88.0;8.4399995803833;2.0;0.7329000234603882
14192796764;Apr 16, 2025, 5:53:30 AM;Morning Ride;Ride;907,00;3.72;130.0;2;true;;GRVL120;779.0;3722.0;13.0;130.0;110.86906433105469;97.0;10.880000114440918;0.0;0.809499979019165
11200115734;Apr 17, 2024, 4:12:45 AM;Morning Workout / Back Bi;Workout;2721,00;0;116.0;5;false;;;2721.0;0.0;0.0;116.0;90.5104751586914;100.0;;;
14204694938;Apr 17, 2025, 3:27:47 PM;Afternoon Ride;Ride;1142,00;5.46;125.0;3;true;;GRVL120;1091.0;5459.10009765625;13.0;125.0;110.57894897460938;121.0;4.800000190734863;2.0;1.1872999668121338
14200432090;Apr 17, 2025, 5:52:37 AM;Morning Ride;Ride;1310,00;5.66;140.0;4;true;;GRVL120;1291.0;5659.60009765625;23.0;140.0;113.98728942871094;150.0;7.400000095367432;0.0;1.2309000492095947
14201751749;Apr 17, 2025, 9:42:04 AM;Lunch Run;Run;1822,00;5.13;183.0;53;false;;Nike Pegasus 41;1800.0;5136.89990234375;95.0;183.0;155.4888153076172;373.0;4.349999904632568;2.0;
11211255386;Apr 18, 2024, 4:13:41 PM;Evening Run;Run;3399,00;10.01;172.0;87;false;;Kalenji Run Active;3391.0;10012.2900390625;6.019719123840332;172.0;153.0563201904297;543.0;6.289999961853027;1.0;
11207325991;Apr 18, 2024, 4:16:41 AM;Morning Workout / Shoulders;Workout;2828,00;0;133.0;5;false;;;2828.0;0.0;0.0;133.0;88.93104553222656;84.0;;;
14213979394;Apr 18, 2025, 2:38:24 PM;Afternoon Ride;Ride;1029,00;5.46;127.0;2;true;;GRVL120;1011.0;5463.0;26.0;127.0;107.3162612915039;102.0;16.979999542236328;3.0;1.188099980354309
14209769360;Apr 18, 2025, 6:05:27 AM;Morning Ride;Ride;1224,00;5.58;143.0;4;true;;GRVL120;1151.0;5588.7998046875;40.0;143.0;118.04642486572266;153.0;8.979999542236328;0.0;1.215499997138977
11214449007;Apr 19, 2024, 4:14:51 AM;Morning Workout / Legs;Workout;2707,00;0;112.0;5;false;;;2707.0;0.0;0.0;112.0;90.96453857421875;95.0;;;
14225113946;Apr 19, 2025, 8:58:15 AM;Morning Ride;Ride;27859,00;56.85;;;false;;GRVL120;19986.0;56855.19921875;1451.0;;;2069.0;16.15999984741211;2.0;
11087994998;Apr 2, 2024, 4:13:37 AM;Morning Workout / Chest Shoulders;Workout;2750,00;0;105.0;4;false;;;2750.0;0.0;0.0;;82.04981994628906;46.0;;;
14059276806;Apr 2, 2025, 2:54:32 PM;Afternoon Ride;Ride;1121,00;5.53;127.0;3;true;;GRVL120;1061.0;5532.2001953125;30.0;127.0;111.2666015625;122.0;16.809999465942383;2.0;1.2031999826431274
14059697921;Apr 2, 2025, 3:25:06 PM;Afternoon Run;Run;1940,00;5.17;175.0;35;false;;Nike Pegasus 41;1833.0;5177.7998046875;13.0;175.0;146.83021545410156;375.0;16.760000228881836;2.0;
14055542219;Apr 2, 2025, 6:15:29 AM;Morning Ride;Ride;1166,00;5.69;140.0;4;true;;GRVL120;1138.0;5698.2998046875;35.0;140.0;117.58303833007812;145.0;7.059999942779541;0.0;1.239300012588501
11220974483;Apr 20, 2024, 5:18:21 AM;Morning Workout / Chest Tri;Workout;3324,00;0;111.0;6;false;;;3324.0;0.0;0.0;111.0;87.46991729736328;102.0;;;
11222324707;Apr 20, 2024, 9:11:15 AM;Lunch Run;Run;3256,00;10.04;176.0;112;false;;Kalenji Run Active;3226.0;10043.330078125;6.039064884185791;176.0;160.76434326171875;568.0;5.420000076293945;3.0;
14230677969;Apr 20, 2025, 5:20:33 AM;Morning Ride;Ride;16699,00;63.52;;;false;;GRVL120;13169.0;63527.1015625;910.0;;;2114.0;5.260000228881836;0.0;
14238554235;Apr 21, 2025, 5:58:22 AM;Morning Weight Training;Weight Training;4079,00;0;144.0;9;false;;;4079.0;0.0;0.0;144.0;93.71316528320312;278.0;;;
11236299880;Apr 22, 2024, 4:11:21 AM;Morning Workout / Back Bi;Workout;3016,00;0;116.0;6;false;;;3016.0;0.0;0.0;116.0;89.71220397949219;108.0;;;
14250598002;Apr 22, 2025, 10:41:26 AM;Lunch Ride;Ride;1149,00;5.49;138.0;3;true;;GRVL120;1099.0;5490.5;26.0;138.0;109.68667602539062;121.0;15.600000381469727;3.0;1.194100022315979
14251047460;Apr 22, 2025, 11:15:28 AM;Afternoon Run;Run;1889,00;5.22;159.0;43;false;;Nike Pegasus 41;1854.0;5228.89990234375;17.0;159.0;149.67422485351562;369.0;16.290000915527344;4.0;
14249007041;Apr 22, 2025, 6:24:59 AM;Morning Ride;Ride;1699,00;6.68;144.0;5;true;;GRVL120;1434.0;6684.2998046875;31.0;144.0;118.74674224853516;190.0;10.130000114440918;0.0;1.4537999629974365
11243402185;Apr 23, 2024, 4:11:35 AM;Morning Workout / Shoulders;Workout;3082,00;0;111.0;5;false;;;3082.0;0.0;0.0;111.0;80.3455581665039;51.0;;;
14263128387;Apr 23, 2025, 2:38:37 PM;Afternoon Ride;Ride;1093,00;5.49;124.0;2;true;;GRVL120;1046.0;5492.0;25.0;124.0;100.27864074707031;95.0;11.670000076293945;3.0;1.1944999694824219
14259012464;Apr 23, 2025, 4:04:10 AM;Morning Weight Training;Weight Training;4154,00;0;126.0;8;false;;;4154.0;0.0;0.0;126.0;89.9739990234375;259.0;;;
